sub_category,product_name,product_price,product_manufactured
Human Insulin Basal,Human Insulatard 40IU/ml Suspension for Injection,₹133.93,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Insulin 40IU/ml Injection,₹121.91,Sun Pharmaceutical Industries Ltd
Human Insulin Basal,Huminsulin N 40IU/ml Injection,₹133.45,Eli Lilly and Company India Pvt Ltd
Human Insulin Basal,Insugen-N 40IU/ml Injection,₹133.36,Biocon
Human Insulin Basal,Insulatard 100IU/ml Flexpen,₹401.03,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Huminsulin N 100IU/ml Cartridge,₹300.9,Eli Lilly and Company India Pvt Ltd
Human Insulin Basal,Huminsulin N 100IU/ml Injection,₹416.5,Eli Lilly and Company India Pvt Ltd
Human Insulin Basal,Insulatard HM 100IU/ml Penfill,₹271.15,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Lupisulin N 40IU/ml Injection,₹133.53,Lupin Ltd
Human Insulin Basal,Insugen-N 100IU/ml Refil Injection,₹182.25,Biocon
Human Insulin Basal,Insugen-N 100IU/ml Injection,₹364.96,Biocon
Human Insulin Basal,Lupisulin N 100IU/ml Injection,₹185.98,Lupin Ltd
Human Insulin Basal,Insuman Basal 40IU/ml Injection,₹119.06,Sanofi India  Ltd
Human Insulin Basal,Wosulin-N 40IU/ml Suspension for Injection,₹131.47,Wockhardt Ltd
Human Insulin Basal,Insulatard NOVOLET 100IU Suspension for Injection,,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Iletin NPH 40IU/ml Injection,₹76.93,Eli Lilly and Company India Pvt Ltd
Human Insulin Basal,Wosulin-N 100IU/ml Injection,₹185.72,Wockhardt Ltd
Human Insulin Basal,Insulatard HM 100IU/ml Cartridge,,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Lentard 40IU/ml Injection,₹109.85,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Insulatard SC 40IU Injection,,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Longact 40IU/ml Injection,₹61.86,USV Ltd
Human Insulin Basal,Recosulin N 40IU/ml Injection,₹119.6,Shreya Life Sciences Pvt Ltd
Human Insulin Basal,Lupisulin N 100IU/ml Injection,₹340.81,Lupin Ltd
Human Insulin Basal,Insulatard 100IU/ml Suspension for Injection,₹331.5,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Insucare N 40IU/ml Injection,₹122.68,Sun Pharmaceutical Industries Ltd
Human Insulin Basal,Recosulin N 100IU Injection,₹284.28,Shreya Life Sciences Pvt Ltd
Human Insulin Basal,Human Zinulin 40IU/ml Injection,₹163.28,Novo Nordisk India Pvt Ltd
Human Insulin Basal,Insulatard 100IU/ml Solution for Injection,₹331.5,Novo Nordisk India Pvt Ltd
